"Supplied Name","guid","vernacular name","group"
"Setonix brachyurus","urn:lsid:biodiversity.org.au:afd.taxon:4b8d7fcd-f6ba-4e0b-ace1-c23df9d0532b",,"Mammals"
"Austrelaps superbus","urn:lsid:biodiversity.org.au:afd.taxon:ff408174-dc19-477d-b25f-6d247828484e","Lowland Copperhead Snake","Reptiles"
"Pseudonaja textilis","urn:lsid:biodiversity.org.au:afd.taxon:8fb8ef88-35dd-4099-a7be-385507038ec9",,"Reptiles"
"Dugong dugon","urn:lsid:biodiversity.org.au:afd.taxon:dfa14228-4f24-48be-b5e6-f91db5ddbbe1","Dugong","Mammals"
"Pelecanus conspicillatus","urn:lsid:biodiversity.org.au:afd.taxon:d5e87c29-3b0e-4dde-b43c-9f8461fe1b65",,"Birds"
"Coprinus comatus","68a26bcb-f573-440b-8d70-5094006a6a83","Lawyer's Wig","Fungi"
"Eucalyptus regnans","urn:lsid:biodiversity.org.au:apni.taxon:306354","Mountain Ash","Flowering plants"
"Casuarius casuarius","urn:lsid:biodiversity.org.au:afd.taxon:7a442655-a818-4569-b7b7-7ebb857b63c3","Southern Cassowary","Birds"
"Rhipidura leucophrys","urn:lsid:biodiversity.org.au:afd.taxon:10595785-a754-4011-8e14-0459e70080a9","Willy wagtail","Birds"
"Dacelo novaeguineae","urn:lsid:biodiversity.org.au:afd.taxon:5b72fb29-0318-43f8-bc0a-58b879b17601","Kookaburra","Birds"
"Phascogale calura","urn:lsid:biodiversity.org.au:afd.taxon:d160d513-ed7f-44e2-84de-8c625eefd58a",,"Mammals"
"Ornithoptera priamus","urn:lsid:biodiversity.org.au:afd.taxon:01c6581a-ccee-49b1-91f1-70737d409761","Cairns Birdwing","Invertebrates"
"Petaurus gracilis","urn:lsid:biodiversity.org.au:afd.taxon:03f58637-389c-407c-9ea7-7527eb821929",,"Mammals"
"Petrogale penicillata","urn:lsid:biodiversity.org.au:afd.taxon:9c87d7b7-c2e0-4627-8360-a4472f715971",,"Mammals"
"Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:9ade66b2-3d00-4014-8292-f728a3c69cfe","Eastern Tiger Quoll","Mammals"
"Dromaius novaehollandiae","urn:lsid:biodiversity.org.au:afd.taxon:c2714924-4fd5-456e-bb04-d23edbcf888f","Emu","Birds"
"Heimioporus fruticicola","7e7f5be4-d5e9-476e-9022-bbfaa91d68b7",,"Fungi"
"Manorina melanocephala","urn:lsid:biodiversity.org.au:afd.taxon:371c86d2-3a77-43cc-901e-c20df81bb2ed",,"Birds"
"Menura novaehollandiae","urn:lsid:biodiversity.org.au:afd.taxon:7871449c-914f-4625-a8b8-3e182f231421","Lyrebird","Birds"
"Chaetodon trifascialis","urn:lsid:biodiversity.org.au:afd.taxon:2f95f4a3-650a-4fb1-abb3-99f7d13de924",,"Fish"
"Tiliqua nigrolutea","urn:lsid:biodiversity.org.au:afd.taxon:c166c382-dbba-4f27-9bd8-b9b1ac3ac867","Blotched Blue-tongue Lizard","Reptiles"
"Grevillea banksii","urn:lsid:biodiversity.org.au:apni.taxon:292357","Banks Grevillea","Flowering plants"
"Chrysolopus spectabilis","urn:lsid:biodiversity.org.au:afd.taxon:a76736ca-febd-4a04-b787-ad196f79abb5",,"Invertebrates"
"Cyathea australis","urn:lsid:biodiversity.org.au:apni.taxon:310873","Black Tree-fern","Ferns"
"Vombatus ursinus","urn:lsid:biodiversity.org.au:afd.taxon:e079f94d-3d7f-4deb-ae29-053fec4d1b53",,"Mammals"
"Dendrolagus lumholtzi","urn:lsid:biodiversity.org.au:afd.taxon:3e490945-d0c2-413e-8eb9-88c864303f33",,"Mammals"
"Banksia ericifolia","urn:lsid:biodiversity.org.au:apni.taxon:248137",,"Flowering plants"
"Lampona cylindrata","urn:lsid:biodiversity.org.au:afd.taxon:109650ac-4e89-4c21-874c-efefe6ca6a96","White-tailed Spider","Invertebrates"
"Cetorhinus maximus","urn:lsid:biodiversity.org.au:afd.taxon:3a3f1aca-2e26-4258-9e98-ef941597ed6a","Basking Shark","Fish"
"Callocephalon fimbriatum","urn:lsid:biodiversity.org.au:afd.taxon:1c582479-f156-4fa1-b09b-84375a227d75",,"Birds"
"Litoria raniformis","urn:lsid:biodiversity.org.au:afd.taxon:4377a1c1-4a8b-45f9-83b8-5b827d0b91db","Growling Grass Frog","Frogs"
"Adiantum hispidulum","urn:lsid:biodiversity.org.au:apni.taxon:315386","Rough maidenhair fern","Ferns"
"Macropus giganteus","urn:lsid:biodiversity.org.au:afd.taxon:43639327-3bc9-43ae-861b-e0f982b1a8b2",,"Mammals"
"Chlamydosaurus kingii","urn:lsid:biodiversity.org.au:afd.taxon:7aa27778-bb2d-4ecd-a076-d9bde25d3687",,"Reptiles"
"Chelodina longicollis","urn:lsid:biodiversity.org.au:afd.taxon:a07f0ba4-f7cc-4167-a4b2-9f694de6ca4a",,"Reptiles"
"Eretmochelys imbricata","urn:lsid:biodiversity.org.au:afd.taxon:96133221-771a-40d0-8368-ad428a55aaaa",,"Reptiles"
"Varanus varius","urn:lsid:biodiversity.org.au:afd.taxon:02e797c2-335d-4952-9d88-f9cfb41a7a3a",,"Reptiles"
"Dendrochirus zebra","urn:lsid:biodiversity.org.au:afd.taxon:aebc9c68-b829-44e0-b090-dfa713e0294b",,"Fish"
"Crocodylus porosus","urn:lsid:biodiversity.org.au:afd.taxon:989a7126-df02-4f1f-a21f-feca59662947",,"Reptiles"
"Toxotes chatareus","urn:lsid:biodiversity.org.au:afd.taxon:bf769ca2-8c91-4d66-8396-10f8d4c4b8b2","Sevenspot Archerfish","Fish"
"Phallus rubicundus","5de11e24-515a-4c49-bf5a-e4d29176ca2d","Stinkhorn","Fungi"
"Grevillea candelabroides","urn:lsid:biodiversity.org.au:apni.taxon:248786",,"Flowering plants"
"Dryococelus australis","urn:lsid:biodiversity.org.au:afd.taxon:a03b7f25-c0af-4d56-8ae6-4a9eb4ae6515",,"Invertebrates"
"Gymnothorax javanicus","urn:lsid:biodiversity.org.au:afd.taxon:7180c92f-7282-4e39-bfae-91b82b3d6e66",,"Fish"
"Psaltoda moerens","urn:lsid:biodiversity.org.au:afd.taxon:8ba7906f-e7ba-4680-aa61-a74191a35b75","Red Eyed Cicada","Invertebrates"
"Alisterus scapularis","urn:lsid:biodiversity.org.au:afd.taxon:3aca9928-daf5-416d-a343-60e194b2c2c2","King Parrot","Birds"
"Nothofagus moorei","urn:lsid:biodiversity.org.au:apni.taxon:262269","Antarctic Beech","Flowering plants"
